"GEO_ID","NAME","P5_001N","P5_002N","P5_003N","P5_004N","P5_005N","P5_006N","P5_007N","P5_008N","P5_009N","P5_010N"
"id","Geographic Area Name"," !!Total:"," !!Total:!!Institutionalized population:"," !!Total:!!Institutionalized population:!!Correctional facilities for adults"," !!Total:!!Institutionalized population:!!Juvenile facilities"," !!Total:!!Institutionalized population:!!Nursing facilities/Skilled-nursing facilities"," !!Total:!!Institutionalized population:!!Other institutional facilities"," !!Total:!!Noninstitutionalized population:"," !!Total:!!Noninstitutionalized population:!!College/University student housing"," !!Total:!!Noninstitutionalized population:!!Military quarters"," !!Total:!!Noninstitutionalized population:!!Other noninstitutional facilities"
"1500000US490039601001","Block Group 1, Census Tract 9601, Box Elder County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490039601002","Block Group 2, Census Tract 9601, Box Elder County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490039601003","Block Group 3, Census Tract 9601, Box Elder County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490039602001","Block Group 1, Census Tract 9602, Box Elder County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490039602002","Block Group 2, Census Tract 9602, Box Elder County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490039602003","Block Group 3, Census Tract 9602, Box Elder County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490039602004","Block Group 4, Census Tract 9602, Box Elder County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490039602005","Block Group 5, Census Tract 9602, Box Elder County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490039602006","Block Group 6, Census Tract 9602, Box Elder County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490039603011","Block Group 1, Census Tract 9603.01, Box Elder County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490039603012","Block Group 2, Census Tract 9603.01, Box Elder County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490039603013","Block Group 3, Census Tract 9603.01, Box Elder County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490039603014","Block Group 4, Census Tract 9603.01, Box Elder County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490039603021","Block Group 1, Census Tract 9603.02, Box Elder County, Utah","22","22","0","0","0","22","0","0","0","0"
"1500000US490039603022","Block Group 2, Census Tract 9603.02, Box Elder County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490039603023","Block Group 3, Census Tract 9603.02, Box Elder County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490039603024","Block Group 4, Census Tract 9603.02, Box Elder County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490039604001","Block Group 1, Census Tract 9604, Box Elder County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490039604002","Block Group 2, Census Tract 9604, Box Elder County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490039604003","Block Group 3, Census Tract 9604, Box Elder County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490039605001","Block Group 1, Census Tract 9605, Box Elder County, Utah","13","0","0","0","0","0","13","0","0","13"
"1500000US490039605002","Block Group 2, Census Tract 9605, Box Elder County, Utah","125","125","88","37","0","0","0","0","0","0"
"1500000US490039605003","Block Group 3, Census Tract 9605, Box Elder County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490039605004","Block Group 4, Census Tract 9605, Box Elder County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490039606011","Block Group 1, Census Tract 9606.01, Box Elder County, Utah","8","0","0","0","0","0","8","0","0","8"
"1500000US490039606012","Block Group 2, Census Tract 9606.01, Box Elder County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490039606013","Block Group 3, Census Tract 9606.01, Box Elder County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490039606014","Block Group 4, Census Tract 9606.01, Box Elder County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490039606021","Block Group 1, Census Tract 9606.02, Box Elder County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490039606022","Block Group 2, Census Tract 9606.02, Box Elder County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490039606023","Block Group 3, Census Tract 9606.02, Box Elder County, Utah","39","39","0","0","39","0","0","0","0","0"
"1500000US490039607011","Block Group 1, Census Tract 9607.01, Box Elder County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490039607012","Block Group 2, Census Tract 9607.01, Box Elder County, Utah","80","80","0","57","23","0","0","0","0","0"
"1500000US490039607013","Block Group 3, Census Tract 9607.01, Box Elder County, Utah","37","37","0","0","37","0","0","0","0","0"
"1500000US490039607021","Block Group 1, Census Tract 9607.02, Box Elder County, Utah","12","0","0","0","0","0","12","0","0","12"
"1500000US490039607022","Block Group 2, Census Tract 9607.02, Box Elder County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490039608011","Block Group 1, Census Tract 9608.01, Box Elder County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490039608012","Block Group 2, Census Tract 9608.01, Box Elder County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490039608013","Block Group 3, Census Tract 9608.01, Box Elder County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490039608021","Block Group 1, Census Tract 9608.02, Box Elder County, Utah","22","18","0","0","18","0","4","0","0","4"
"1500000US490039608022","Block Group 2, Census Tract 9608.02, Box Elder County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490039608023","Block Group 3, Census Tract 9608.02, Box Elder County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490111251021","Block Group 1, Census Tract 1251.02, Davis County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490111251022","Block Group 2, Census Tract 1251.02, Davis County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490111251031","Block Group 1, Census Tract 1251.03, Davis County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490111251032","Block Group 2, Census Tract 1251.03, Davis County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490111251033","Block Group 3, Census Tract 1251.03, Davis County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490111251041","Block Group 1, Census Tract 1251.04, Davis County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490111251042","Block Group 2, Census Tract 1251.04, Davis County, Utah","47","0","0","0","0","0","47","0","0","47"
"1500000US490111251043","Block Group 3, Census Tract 1251.04, Davis County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490111252011","Block Group 1, Census Tract 1252.01, Davis County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490111252012","Block Group 2, Census Tract 1252.01, Davis County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490111253011","Block Group 1, Census Tract 1253.01, Davis County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490111253012","Block Group 2, Census Tract 1253.01, Davis County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490111253013","Block Group 3, Census Tract 1253.01, Davis County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490111253014","Block Group 4, Census Tract 1253.01, Davis County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490111253041","Block Group 1, Census Tract 1253.04, Davis County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490111253042","Block Group 2, Census Tract 1253.04, Davis County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490111253043","Block Group 3, Census Tract 1253.04, Davis County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490111253051","Block Group 1, Census Tract 1253.05, Davis County, Utah","7","0","0","0","0","0","7","0","0","7"
"1500000US490111253052","Block Group 2, Census Tract 1253.05, Davis County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490111253053","Block Group 3, Census Tract 1253.05, Davis County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490111253054","Block Group 4, Census Tract 1253.05, Davis County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490111253061","Block Group 1, Census Tract 1253.06, Davis County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490111253062","Block Group 2, Census Tract 1253.06, Davis County, Utah","7","0","0","0","0","0","7","0","0","7"
"1500000US490111253071","Block Group 1, Census Tract 1253.07, Davis County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490111253072","Block Group 2, Census Tract 1253.07, Davis County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490111253073","Block Group 3, Census Tract 1253.07, Davis County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490111253074","Block Group 4, Census Tract 1253.07, Davis County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490111254071","Block Group 1, Census Tract 1254.07, Davis County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490111254072","Block Group 2, Census Tract 1254.07, Davis County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490111254073","Block Group 3, Census Tract 1254.07, Davis County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490111254074","Block Group 4, Census Tract 1254.07, Davis County, Utah","24","23","0","0","23","0","1","0","0","1"
"1500000US490111254081","Block Group 1, Census Tract 1254.08, Davis County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490111254082","Block Group 2, Census Tract 1254.08, Davis County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490111254083","Block Group 3, Census Tract 1254.08, Davis County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490111254091","Block Group 1, Census Tract 1254.09, Davis County, Utah","27","27","0","0","27","0","0","0","0","0"
"1500000US490111254092","Block Group 2, Census Tract 1254.09, Davis County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490111254101","Block Group 1, Census Tract 1254.10, Davis County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490111254102","Block Group 2, Census Tract 1254.10, Davis County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490111254111","Block Group 1, Census Tract 1254.11, Davis County, Utah","90","90","0","72","0","18","0","0","0","0"
"1500000US490111254112","Block Group 2, Census Tract 1254.11, Davis County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490111254121","Block Group 1, Census Tract 1254.12, Davis County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490111254122","Block Group 2, Census Tract 1254.12, Davis County, Utah","2","0","0","0","0","0","2","0","0","2"
"1500000US490111254131","Block Group 1, Census Tract 1254.13, Davis County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490111254132","Block Group 2, Census Tract 1254.13, Davis County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490111254141","Block Group 1, Census Tract 1254.14, Davis County, Utah","8","0","0","0","0","0","8","0","0","8"
"1500000US490111254142","Block Group 2, Census Tract 1254.14, Davis County, Utah","5","5","0","5","0","0","0","0","0","0"
"1500000US490111254143","Block Group 3, Census Tract 1254.14, Davis County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490111254151","Block Group 1, Census Tract 1254.15, Davis County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490111254152","Block Group 2, Census Tract 1254.15, Davis County, Utah","0","0","0","0","0","0","0","0","0","0"
"1500000US490111255011","Block Group 1, Census Tract 1255.01, Davis County, Utah","0","0","0","0","0","0","0","0","0","0"
